NAME	SMILE Format
Discokiolide B	CCC(C)C(N(C(CC(NC(C(C(C1=COC(/C(C)=C/CC2=CC=CC=C2)=N1)OC3=O)C)=O)C(O)=O)=O)C)C(N(C(C(CC)C)C(NC(C(N4C(C(NC3C(OC)C5=CC=CC=C5)=O)CCC4)=O)CC(N)=O)=O)C)=O
Seco[<h3>D<h0>-Asp<p1>3<p0>]microcystin RR	COC(C(C)/C=C(C)/C=C/C(C(C(NC(CCC(NC)=O)C(O)=O)=O)C)NC(C(NC(CC(C(O)=O)NC(C(NC(C(C)NC(C(C)=O)=O)=O)CCCNC(N)=N)=O)=O)CCCNC(N)=N)=O)CC1=CC=CC=C1
Ilamycin; Ilamycin A; Rufomycin A; Rufomycin III; Illamycin	[O-][N+](C1=CC(C[C@@](NC([C@@](CC(C)C)([H])N(C)C([C@@](CC2=CN(C3=CC=CC=C32)C(C)(C)C4OC4)([H])NC5=O)=O)=O)([H])C(N[C@@H](C)C(N(C)[C@](CC(C)C=O)([H])C(N[C@](CC(C)C)([H])C(N[C@@]5([H])C/C=C/C)=O)=O)=O)=O)=CC=C1O)=O
Tamandarin B	O=C(C(NC(C(C(C)C)OC(CC(C(NC(C(NC(C(N(C(C1CCCN1C(C(O)C)=O)=O)C)CC(C)C)=O)C(C)OC(C(CC2=CC=C(OC)C=C2)N3C)=O)=O)C(C)C)O)=O)=O)CC(C)C)N4C(C3=O)CCC4
Micropeptin 478A	N=C(N)NCCCC(C(NC(CCC1O)C(N1C(C(C)CC)C(N(C)C(C(NC(C(OC(C2NC(C(COS(=O)(O)=O)OS(=O)(O)=O)=O)C)=O)C(C)C)=O)CC3=CC=C(O)C(Cl)=C3)=O)=O)=O)NC2=O
Pyoverdin C<p2>44<p0>H<p2>61<p0>N<p2>13<p0>O<p2>17<p0>	O=C(CCC(N)=O)NC1=CC2=CC(O)=C(O)C=C2N3C1=NCCC3C(NC(CO)C(NC(CCCCN)C(NC(C(C4=CNC=N4)O)C(NC(C(NC(C(NC5CCCN(O)C5=O)=O)CO)=O)C(C)O)=O)=O)=O)=O
Ichthyopeptin A	OC1=CC=C(CC(O)C(NC(CCC(N)=O)C(NC(C(OC(C(C(C)CC)NC(C(N(C)C(C(C(C)C)N2C(O)CCC(NC(C(CC3=CC=C(O)C=C3)N4)=O)C2=O)=O)CC5=CC=CC=C5)=O)=O)C)C4=O)=O)=O)C=C1
Iturin A2; Iturin AL-2; 1OW-2; 10W-1-10W-8 (mixture); Iturin A (mixture); KRF-001 A	O=C1N(CCC2)C2C(NC(CC(N)=O)C(NC(CO)C(NC(CCCCCCCCCCC)CC(NC(CC(N)=O)C(NC(CC(C=C3)=CC=C3O)C(NC(CC(N)=O)C(NC1CCC(N)=O)=O)=O)=O)=O)=O)=O)=O
Epichlicin	OC1=CC=C(CC(C(NC(CC(N)=O)C(NC(CCC(N)=O)C(NC(C(NC(CC(N)=O)C2=O)=O)CO)=O)=O)=O)NC(C(NC(CC(CCCCCCCCCCC)NC(C3N2CCC3)=O)=O)CC(N)=O)=O)C=C1
Mixirin A	O=C(NC(CO)C(NC(C(N1C(C(NC(CCCCCCCCCCCC)C(NC(CC(N)=O)C(NC2CC3=CC=C(O)C=C3)=O)=O)=O)CCC1)=O)CC(N)=O)=O)C(NC(C(CC(N)=O)NC2=O)=O)CCC(N)=O
Cyclomarin A	O=C(N(C)[C@](CC(C)CO)([H])C(N[C@@](C)([H])C(N[C@]([C@H](OC)C1=CC=CC=C1)([H])C(N[C@](C(C)C)([H])C(N(C)C(CC(C)C)C(N[C@@]2([H])[C@H](C)C=C(C)C)=O)=O)=O)=O)=O)[C@](NC2=O)([H])[C@@H](O)C3=CN(C(C)(C)C4OC4)C5=CC=CC=C53
Cyclomarin A	OC(C(C1=O)NC(C(C(C)C=C(C)C)NC(C(N(C(C(C(C)C)NC(C(C(C2=CC=CC=C2)OC)NC(C(C)NC(C(CC(C)CO)N1C)=O)=O)=O)=O)C)CC(C)C)=O)=O)C3=CN(C(C4OC4)(C)C)C5=C3C=CC=C5
Pyoverdin C<p2>44<p0>H<p2>61<p0>N<p2>13<p0>O<p2>17<p0>	O=C(CCC(O)=O)NC1=CC2=CC(O)=C(O)C=C2N3C1=NCCC3C(NC(CO)C(NC(CCCCN)C(NC(C(C4=CNC=N4)O)C(NC(C(NC(C(NC5CCCN(O)C5=O)=O)CO)=O)C(C)O)=O)=O)=O)=O
Iturin C I; Iturin C1	O=C1N(CCC2)C2C(NC(CC(N)=O)C(NC(CO)C(NC(CCCCCCCCC(C)C)CC(NC(CC(O)=O)C(NC(CC(C=C3)=CC=C3O)C(NC(CC(N)=O)C(NC1CCC(N)=O)=O)=O)=O)=O)=O)=O)=O
A-30912-B; Echinocandin C	O=C([C@@]([C@@H](C)O)([H])NC1=O)N(C[C@H](O)C2)[C@]2([H])C(N[C@]([C@H](O)CC3=CC=C(O)C=C3)([H])C(N[C@H]([C@@H](C)O)C(N(C[C@@H]4C)C([C@H]4O)C(N[C@H](O)[C@H](O)C[C@@H]1NC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O)=O)=O)=O
Ilamycin-C1	[O-][N+](C1=CC(C[C@@](NC([C@@](CC(C)C)([H])N(C)C([C@@](CC2=CN(C(C)(C)CCO)C3=CC=CC=C32)([H])NC4=O)=O)=O)([H])C(N[C@@H](C)C(N(C)[C@](CC(C)C=O)([H])C(N[C@](CC(C)C)([H])C(N[C@@]4([H])C/C=C/C)=O)=O)=O)=O)=CC=C1O)=O
Octapeptin C3; Bu 2470B2a	O=C(C(CC(C)C)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C2NC(C(CCN)NC(CC(CCCCC(C)C)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Octapeptin C4; Bu 2470B2b	O=C(C(CC(C)C)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C2NC(C(CCN)NC(CC(CCCCCCC)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Octapeptin-B2; EM 49g; E-49-g	O=C(C(CC1=CC=CC=C1)NC(C(CC(C)C)NC(C(CCN)NC(C2NC(C(CCN)NC(C[C@@H](CCCCC(C)C)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Pyoverdin R_p	O=C(CCC(N)=O)NC(C1=NCCC(C(NC(C2=NCCC(C(NC(CCCN(O)C=O)C(NC(CCC(N)=O)C(NC(C(NCC(O)=O)=O)CCCN(O)C=O)=O)=O)=O)N2)CO)=O)N31)=CC4=C3C=C(O)C(O)=C4
Aeruginopeptin 228A	OC(C(NC(C(NC(C(NC(C(NC1C(N(C(CC1)O)C(C(O)C)C2=O)=O)=O)CC3=CC=C(O)C=C3)=O)C(OC(C(NC(C(N2C)CC4=CC=CC=C4)=O)C(CC)C)=O)C)=O)CCC(N)=O)=O)CC5=CC=C(O)C=C5
Bacillomycin D3; Raubitschek substance	O=C(C(CC(N)=O)NC1=O)N(CCC2)C2C(NC(CCC(O)=O)C(NC(CO)C(NC(C(C)O)C(NC(CCCCCCCCC(C)CC)CC(NC(CC(N)=O)C(NC1CC3=CC=C(O)C=C3)=O)=O)=O)=O)=O)=O
[<h3>D<h0>-Asp<p1>3<p0>,(<h1>E<h0>)-Dhb<p1>7<p0>]Microcystin HtyR	O=C(C(C(NC(C(CCCNC(N)=N)NC(CC(C(O)=O)NC(C(N1)CCC2=CC=C(O)C=C2)=O)=O)=O)/C=C/C(C)=C/C(C)C(OC)CC3=CC=CC=C3)C)NC(CCC(N/C(C(NC(C)C1=O)=O)=C/C)=O)C(O)=O
Micropeptin 103	CCCCCC(NCC(NC(C(O)C)C(NC(C(C)O1)C(NC(CCC(N)=O)C(NC2CCC(O)N(C(CC3=CC=CC=C3)C(N(C)C(CC4=CNC5=C4C=CC=C5)C(NC(C(C)C)C1=O)=O)=O)C2=O)=O)=O)=O)=O)=O
Pyoverdin R_p	O=C(CCC(O)=O)NC(C1=NCCC(C(NC(C2=NCCC(C(NC(CCCN(O)C=O)C(NC(CCC(N)=O)C(NC(C(NCC(O)=O)=O)CCCN(O)C=O)=O)=O)=O)N2)CO)=O)N31)=CC4=C3C=C(O)C(O)=C4
Oscillapeptilide 97A	COC1=CC=C(CC(N2C)C(NC(C(C)CC)C(OC(C)C(C(NC(CC(C)C)C(NC3C(N(C(C2=O)CC4=CC=CC=C4)C(O)CC3)=O)=O)=O)NC(C(CCC(N)=O)NC(C5N(C(C)=O)CCC5)=O)=O)=O)=O)C=C1
Pyoverdin PL7	OC1=CC2=C(C=C(NC(CCC(O)=O)=O)C3=NCCC(C(NC(CO)C(NC(CCCN(C(C)=O)O)C(NC(C)C(NCC(NC(C(C)O)C(NC(C(NC4CCCN(O)C4=O)=O)C)=O)=O)=O)=O)=O)=O)N23)C=C1O
C<p2>49<p0>H<p2>76<p0>N<p2>10<p0>O<p2>13<p0> Acyclic microcystin	COC(CC1=CC=CC=C1)C(C)/C=C(C)/C=C/C(C(C(NC(C(O)=O)CCC(N(C(C(NC(C(O)=O)C)=O)=C)C)=O)=O)C)NC(C(NC(C(C)C(C(O)=O)NC(C(CC2=CC=CC=C2)N)=O)=O)CCCNC(N)=N)=O
Pneumocandin A<p2>0<p0>	OC1=CC=C(C(O)C(O)C2C(NC(C(N(C3C(NCCCC(NC(CCCCCCCCC(C)CC(CC)C)=O)C(NC(C(O)C)C(N4C(CC(O)C4)C(N2)=O)=O)=O)=O)CC(C3O)C)=O)C(CC(N)=O)O)=O)C=C1
Suomilide	N=C(N)N1CC(CCNC(C2N(C(C(C(CC)C)NC(C(OC)COS(O)(=O)=O)=O)=O)C3C(O)C(O4)(CC(OC5OC(COC(CCCCC)=O)C(O)C(O)C5OC(CCCCC)=O)C3)C2NC4=O)=O)=CC1
Antibiotic A 30912	O=C(NC(C(N1)=O)C(O)CC2=CC=C(O)C=C2)C3CC(O)CN3C(C(NC(C(NC(CCCCCCCCCCCCCCCCC)=O)CC(O)C(NC(C4N(C(C1C(O)C)=O)CC(C4O)C)=O)O)=O)C(O)C)=O
Pyoverdin BTP 2	ON1CCCC(NC(C(CO)NC(C(C(O)C)NC(CNC(C(C(C(O)=O)O)NC(C(NC(C(CO)NC(C2N(C(C=C(O)C(O)=C3)=C3C=C4NC(CCC(N)=O)=O)C4=NCC2)=O)=O)C(C)C)=O)=O)=O)=O)=O)C1=O
Aeruginopeptin 228A	OC(C(NC(C(NC(C(NC(C(NC1C(N(C(CC1)O)C(C(O)C)C2=O)=O)=O)CC3CCC(O)C=C3)=O)C(OC(C(NC(C(N2C)CC4=CC=CC=C4)=O)C(CC)C)=O)C)=O)CCC(N)=O)=O)CC5=CC=C(O)C=C5
Callipeltin M	CC1C(C)C(C(NC(C(O)C)C(NC(C(O)C)C(NC(CCCNC(N)=N)C(NC(CC(C)C)C(N(C(C(NC(C(OC)C2=CC=C(O)C=C2)C(N(C)C(C(O)=O)C)=O)=O)CCC(N)=O)C)=O)=O)=O)=O)=O)NC1=O
S 41062 F-1	O=C(C(C(O)CC(N)=O)NC(C(C(O)CC(C=C1)=CC=C1O)NC(C2N(CC(O)C2)C3=O)=O)=O)N(CC4C)C(C4O)C(NC(O)C(O)CC(NC(CCCCCCCCCCCCC(C)C)=O)C(NC3CO)=O)=O
S 41062 F-6	O=C(C(C(O)CC(N)=O)NC(C(C(O)CC(C=C1)=CC=C1O)NC(C2N(CC(O)C2)C3=O)=O)=O)N(CC4C)C(C4O)C(NC(O)C(O)CC(NC(CCCCCCCCCCCCCCC)=O)C(NC3CO)=O)=O
Microcystin	CC(/C=C(C)/C=C/C(C(C(NC(CCC(N(C)C(C(NC(C)C1=O)=O)=C)=O)C(O)=O)=O)C)NC(C(CCCNC(N)=N)NC(C(C(C(O)=O)NC(C(N1)CC2C=CC(O)CC2)=O)C)=O)=O)C(OC)CC3=CC=CC=C3
Colicin; Colicin-A	O=C(C(C(C)C)N)N(CC1)C1C(NC(CCSC)C(NC(C(C)O)C(NC(CC2=CNC3=CC=CC=C23)C(NCC(NCC(NC(CCSC)C(NC(CCCCN)C(NCC(O)=O)=O)=O)=O)=O)=O)=O)=O)=O
Anabaenopeptilide 202A	O=CN1C(C(NC(CCC(N)=O)C(NC2C(NC(CCC3=CC=C(O)C=C3)C(NC4C(N(C(C(C)O)C(N(C)C(C(NC(C(OC2C)=O)C(CC)C)=O)CC5=CC=C(OC)C=C5)=O)C(O)CC4)=O)=O)=O)=O)=O)CCC1
Aculeacin A	O=C([C@@]([C@](C)([H])O)([H])NC([C@@]([C@H](O)[C@@H](O)C1=CC=C(O)C=C1)([H])NC2=O)=O)N(C[C@@H]3C)[C@]([C@H]3O)([H])C(N[C@H](O)[C@H](O)C[C@H](NC(CCCCCCCCCCCCCCCC)=O)C(N[C@@](C(N(C4)[C@@]2([H])C[C@H]4O)=O)([H])C(C)([H])O)=O)=O
Daitocidin	OC(CC(C(NC(CC(C)C)C1=O)=O)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CCC(O)=O)NC(CC(OC(C(C(C)C)N1)=O)CCCCCCCCCCCCC)=O)=O)=O)=O)=O)=O
<h1>Bacillus pumilus<h0> KMM 1364 Lipodepsipeptides	O=C(NC(CCC(O)=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC(C)C)C1=O)=O)=O)=O)CC(CCCCCCCCC(C)CC)OC(C(C(CC)C)NC(C(CC(C)C)NC(C(CC(O)=O)N1)=O)=O)=O
Surfactin	O=C(NC(CC(C)C)C1=O)C(NC(C(C(C)C)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CCC(O)=O)NC(CC(OC(C(CC(C)C)N1)=O)CCCCCCCCCCC(C)C)=O)=O)=O)=O)=O)CC(O)=O
Micropeptin T1	CCCCCC(NC(CCC(O)=O)C(NC(C(C)OC(C(NC(C(CC1=CNC2=CC=CC=C21)N(C)C3=O)=O)C(C)C)=O)C(NC(CC4=CC=C(O)C=C4)C(NC5CCC(O)N(C3CC6=CC=CC=C6)C5=O)=O)=O)=O)=O
Symplostatin 2	CN(C(CC1=CC=C(O)C=C1)C(NC(C(C)C)C(OC(C)C(C(N/2)=O)NC(C(NC(C(C(CC)C)NC(CCC)=O)=O)CCS(C)=O)=O)=O)=O)C(C(CC3=CC=CC=C3)N(C(O)CCC4NC(C2=C/C)=O)C4=O)=O
Symplocamide A	BrC1=CC(CC(N(C(C(C(C)CC)N2C(O)CCC(NC(C(NC(C(NC(C(CCC(N)=O)NC(CCC)=O)=O)C(C)O3)=O)CCCNC(N)=O)=O)C2=O)=O)C)C(NC(C(C)C)C3=O)=O)=CC=C1OC
Perthamide C	O=C(NC(C(NC(CCC(C)C)C(C(N/C(C(N(CC(NC(C(OS(=O)(O)=O)C(NC(N)=O)=O)C1=O)=O)C)=O)=C/C)=O)O)=O)CC(N)=O)C(NC(C2N(C(C(C(C)OC)N1)=O)CC(C)C2)=O)CC3=CC=CC=C3
[<h3>D<h0>-Asp<p1>3<p0>,(<h1>E<h0>)-Dhb<p1>7<p0>]Microcystin HtyY	COC(C(C)/C=C(C)/C=C/C(C(C)C(NC(C(O)=O)CCC(N/C(C(NC(C)C1=O)=O)=C/C)=O)=O)NC(C(CC2=CC=C(O)C=C2)NC(CC(C(O)=O)NC(C(N1)CCC3=CC=C(O)C=C3)=O)=O)=O)CC4=CC=CC=C4
Myroridin KB; K-582-B; K-582M-B	N=C(N)NCCCCC(N)C(NC(CC(O)CCNC(N)=N)C(NC(CCCN)C(NC(C(C)O)C(NC(CCCN)C(NC(CC(O)CCNC(N)=N)C(NC(CC1=CC=C(O)C=C1)C(O)=O)=O)=O)=O)=O)=O)=O
Kapakahine A	O=C(NC(C(N1CCCC1C(NC(C(C)CC)C(NC2C(N(C(CC3=CC=C(O)C=C3)C4=O)C(N4C5=C6C=CC=C5)C76C2)=O)=O)=O)=O)C(C)C)C8CCCN8C(C(C(C)CC)NC(C(N)CC9=CN7C%10=C9C=CC=C%10)=O)=O
Cymbimicin A	OC1C(C)(O)C(C)OCC1/C=C/C=C(C)/CCC2(OC)OC(/C=C/C=C/C(C)C(O)C(CC)C(O)C/C=C(C)/C(O)CC(OC)C(C)C(NC(C(C)C)C(NC3C(C)C(C4=CC=CC=C4)OC3=O)=O)=O)CC(OC)C2
Coenzyme A	NC1=NC=NC2=C1N=CN2C(C(O)C3OP(O)(O)=O)OC3COP(O)(OP(O)(OCC(C)(C(O)C(NCCC(NCCSC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O)=O)C)=O)=O
Subtulene A	OC1=CC=C(CC(NC(C(CC(N)=O)NC(CC(CCCC/C=C/CCCC(C)C)N2)=O)=O)C(NC(CC(N)=O)C(NC(CCC(N)=O)C(N3C(C(NC(CC(N)=O)C(NC(CO)C2=O)=O)=O)CCC3)=O)=O)=O)C=C1
Micropeptin D	OC1=CC=C(CC(C(NC(C(OC(C2NC(C(CCC(O)=O)NC(CCCCCCC)=O)=O)C)=O)C(C)C)=O)N(C)C(C(CC3=CC=CC=C3)N(C(O)CCC4NC(C(CC5=CC=C(O)C=C5)NC2=O)=O)C4=O)=O)C=C1
Tamandarin A	O=C(C(NC(C(C(C)C)OC(CC(C(NC(C(NC(C(N(C(C1CCCN1C(C(O)C)=O)=O)C)CC(C)C)=O)C(C)OC(C(CC2=CC=C(OC)C=C2)N3C)=O)=O)C(C)CC)O)=O)=O)CC(C)C)N4C(C3=O)CCC4
Micropeptin 478A	NC(NCCCC(N1)C(NC2C(N(C(C(N(C)C(CC3=CC=C(O)C(Cl)=C3)C(NC(C(CC)C)C(OC(C)C(C1=O)NC(C(OS(=O)(O)=O)COS(=O)(O)=O)=O)=O)=O)=O)C(CC)C)C(O)CC2)=O)=O)=N
Salinamide B	O=C(NC(C(NC(COC(CNC(/C=C/C1(CCl)O)=O)=O)C(OC(C2NC(C(C)C(C(C)C)O)=O)C)=O)=O)C(O)C)C(N(C(C(NC(C(NC2=O)C(C)CC)=O)C3=CC=C(OC1C)C=C3)=O)C)CC4=CC=CC=C4
Thioactin	C=C(C1=NC(C2=C(C3=NC(C(NC(C(NC(C4=NC(C(NCC5=NC6=CS5)=O)=CO4)CSC)=O)C(O)C)=O)=CS3)C=CC(C(NC(C(N)=O)=C)=O)=N2)=CO1)NC(C(NC(C7=CSC(C(NC6=O)C)=N7)=O)=C)=O
Lyngbyastatin 4	OC1=CC=C(CC(C(NC(C(C)C)C(OC(C)C(NC(C(CCC2=CC=C(O)C=C2)NC(C(C)NC(C(O)CO)=O)=O)=O)C3=O)=O)=O)N(C)C(C(CC4=CC=CC=C4)N5C(O)CCC(NC(/C(N3)=C/C)=O)C5=O)=O)C=C1
Iturin A3; Iturin AL-4; 1OW-3; 10W-1-10W-8 (mixture); Iturin A (mixture); KRF-001 B	O=C1N(CCC2)C2C(NC(CC(N)=O)C(NC(CO)C(NC(CCCCCCCCC(C)CC)CC(NC(CC(N)=O)C(NC(CC(C=C3)=CC=C3O)C(NC(CC(N)=O)C(NC1CCC(N)=O)=O)=O)=O)=O)=O)=O)=O
Iturin A4; Iturin AL-3; 1OW-4; 10W-1-10W-8 (mixture); Iturin A (mixture); KRF-001 C	O=C1N(CCC2)C2C(NC(CC(N)=O)C(NC(CO)C(NC(CCCCCCCCCC(C)C)CC(NC(CC(N)=O)C(NC(CC(C=C3)=CC=C3O)C(NC(CC(N)=O)C(NC1CCC(N)=O)=O)=O)=O)=O)=O)=O)=O
Iturin A5; 1OW-5; 10W-1-10W-8 (mixture); Iturin A (mixture)	O=C1N(CCC2)C2C(NC(CC(N)=O)C(NC(CO)C(NC(CCCCCCCCCCCC)CC(NC(CC(N)=O)C(NC(CC(C=C3)=CC=C3O)C(NC(CC(N)=O)C(NC1CCC(N)=O)=O)=O)=O)=O)=O)=O)=O
Muraymycin C<p2>1<p0>	OC(C(C(C)C)NC(NC(C(N1)CCNC1=N)C(NC(C(OC(CCCCC(C)C)=O)C(C)C)C(NCCCNC(C(C2C(O)C(O)C(N(C(N3)=O)C=CC3=O)O2)OC4OC(CN)C(O)C4O)C(O)=O)=O)=O)=O)=O
Octapeptin C2; Bu 2470B1	O=C(C(CC(C)C)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C2NC(C(CCN)NC(CC(CCCCC(C)CC)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Octapeptin C2; Bu 2470B1	O=C(C(CC(C)C)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C2NC(C(CCN)NC(CC(CCCCC(C)CC)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Octapeptin-B4	O=C(C(CC1=CC=CC=C1)NC(C(CC(C)C)NC(C(CCN)NC(C2NC(C(CCN)NC(CC(CCCCCC(C)C)O)=O)=O)=O)=O)=O)NC(CCN)C(NC(CCN)C(NC(CC(C)C)C(NCC2)=O)=O)=O
Cyclolinopeptide B	O=C(C(C(C)CC)NC(C(CC(C)C)NC(C(CCSC)NC(C(NC(C(C(C)C)NC(C(CC1=CC=CC=C1)NC2=O)=O)=O)C(C)CC)=O)=O)=O)N3CCCC3C(N4CCCC4C(NC2CC5=CC=CC=C5)=O)=O
Kapakahine G	O=C1N2C3N(C1CC4=CC=CC=C4)C(C(NC(C(C(O)C)NC(C5CCCN5C(C(NC(C6N(C(C(CCSOC)NC(C(N)CC7=CN8C9=C7C=CC=C9)=O)=O)CCC6)=O)C(C)C)=O)=O)=O)CC38C%10=C2C=CC=C%10)=O
Loihichelins	ON1C(C(NC(C(CO)NC(/C(NC(C(CCCN(C(C)=O)O)NC(C(NC(C(CCC(N)=O)NC(C(CO)NC(C(C(C(O)=O)O)NC(CCCCCCCCC)=O)=O)=O)=O)CO)=O)=O)=C/C)=O)=O)CCC1)=O
A 30912A; Echinocandin B; A 22082; SF-7810; A-32204-B	O=C([C@@]([C@@H](C)O)([H])NC1=O)N(C[C@H](O)C2)[C@]2([H])C(N[C@]([C@H](O)[C@@H](O)C(C=C3)=CC=C3O)([H])C(N[C@@H]([C@@H](C)O)C(N(C[C@@H]4C)C([C@H]4O)C(N[C@H](O)[C@H](O)C[C@@H]1NC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O)=O)=O)=O
3-S,S-Dimethylmercaptopropylaminocleomycin; Cleomycin-1	O=C(C(C)C(O)C(C)NC(C(C(O)C1=CNC=N1)NC(C2=NC(C(NCC(N)C(N)=O)CC(N)=O)=NC(N)=C2C)=O)=O)NC(C3(O)CC3)C(NCCC4=NC(C5=NC(C(NCCC[S+](C)C)=O)=CS5)=CS4)=O
Tallysomycin K<p2>1<p0>	NC1=C(C)C(C(NC(C(NC(C(CC(NC(C(C)O)C(N)=O)=O)O)C)=O)C(OC2C(OC3OC(CO)C(O)C(OC(N)=O)C3O)C(O)C(O)C(CO)O2)C4=CNC=N4)=O)=NC(C(NCC(N)C(N)=O)CC(N)=O)=N1
Antibiotic BE 22179	O=C(N(C)C(C(SCC(NC(C1=NC(C=CC=C2)=C2C=C1O)=O)C(NCC(N(C)C(CSSC3)C(N(C)C(C(SCC(NC(C4=C(O)C=C(C=CC=C5)C5=N4)=O)C(NC6)=O)=O)=C)=O)=O)=O)=O)=C)C3N(C)C6=O
Planktopeptin BL 1061	OC(C(NC(CC(C)C)C(NC(CCC(N)=O)C(NC(C(C)OC(C(C(C)CC)NC(C(N1C)CC2=CC=C(OC)C=C2)=O)=O)C(NC(CC(C)C)C(NC3C(N(C(C(C)O)C1=O)C(O)CC3)=O)=O)=O)=O)=O)=O)CO
Oscillapeptin C	O=C(C(CCC1=CC=C(O)C=C1)NC(C(OC)CO)=O)NC(C(NC(CC2CCC(O)C=C2)C(NC3C(N(C(C(CC)C)C(N4C)=O)C(OC)CC3)=O)=O)=O)C(OC(C(C(C)CC)NC(C4CC5=CC=CC=C5)=O)=O)C
Thalassospiramide B	OCC(NC(C(C(C)C)NC(CC(O)C(CC1=CC=CC=C1)NC(C/C=C\CCCCCC)=O)=O)=O)C(O)CC(NC(C(C)C)C(NC(COC2=O)/C=C/C(NC(C(N(C)C2CC3=CC=C(O)C=C3)=O)C(C)C)=O)=O)=O
Aquachelins	OC(C(C(NC(CO)C(NC(CO)C(NC(CCC(N)=O)C(NC(CCCN(O)C(C)=O)C(NC(CO)C(NC(CCCN(O)C(C)=O)C(O)=O)=O)=O)=O)=O)=O)=O)NC(CCC/C=C\CCCCCC)=O)C(O)=O
S 41062 F-7	O=C(C(C(O)CC(N)=O)NC(C(C(O)CC(C=C1)=CC=C1O)NC(C2N(CC(O)C2)C3=O)=O)=O)N(CC4C)C(C4O)C(NC(O)C(O)CC(NC(CCCCCCCCCCCCCCCC)=O)C(NC3CO)=O)=O
Pneumocandin A<p2>0<p0>	OC1=CC=C(C(CC2C(NC(C(O)CC(N)=O)C(N(C(C(NC(O)C(O)CC(NC(CCCCCCCCC(C)CC(CC)C)=O)C(NC(C(O)C)C(N3C(CC(O)C3)C(N2)=O)=O)=O)=O)C4O)CC4C)=O)=O)O)C=C1
Micropeptin 88E	CCCC(NC(CC1=CC=C(O)C=C1)C(NC(C(O)=O)CCC(NC(C(NC2CC(C)C)=O)C(C)OC(C(NC(C(CC3=CC=CC=C3)N(C)C(C(N4C(O)CCC(NC2=O)C4=O)C(C)C)=O)=O)C(CC)C)=O)=O)=O)=O
Micropeptin 88N	CC(C)CC(C(NC(C(O)=O)CCC(NC(C(C)OC(C(NC(C(N(C(C(C(C)C)N(C(O)CCC1N2)C1=O)=O)C)CC3=CC=CC=C3)=O)C(CC)C)=O)C(NC(CC4=CC=C(O)C=C4)C2=O)=O)=O)=O)NC(CCC)=O
Antibiotic A 30912	CCCCCCCCCCCCCCCCCC(NC(C(NC(C(O)C)C(N1C2)=O)=O)CC(C(NC(C3N(CC(C3O)C)C(C(NC(C(NC(C1CC2O)=O)C(O)C(C4=CC=C(O)C=C4)O)=O)C(O)C)=O)=O)O)O)=O
<h1>Bacillus pumilus<h0> KMM 1364 Lipodepsipeptides	O=C(NC(CCC(O)=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC(C)C)C1=O)=O)=O)=O)CC(CCCCCCCCCCCC(C)C)OC(C(C(C)C)NC(C(CC(C)C)NC(C(CC(O)=O)N1)=O)=O)=O
Aquachelins	OC(C(C(NC(CO)C(NC(CO)C(NC(CCC(N)=O)C(NC(CCCN(O)C(C)=O)C(NC(CO)C(NC(CCCN(O)C(C)=O)C(O)=O)=O)=O)=O)=O)=O)=O)NC(CCCCCCCCCCC)=O)C(O)=O
S-31794-F-1	O=C(N(C[C@H](O)C1)[C@]1([H])C(N[C@]([C@H](O)[C@@H](O)C2=CC=C(O)C=C2)([H])C(NC(C(O)CC(N)=O)C(N(C[C@H](C)[C@@H]3O)[C@]3(C)C(N[C@H](O)[C@H](O)C[C@@H]4NC(CCCCCCCCCCCCC)=O)=O)=O)=O)=O)[C@@]([C@@H](C)O)([H])NC4=O
Pneumocandin A<p2>0<p0>	OC1=CC=C(C(O)C(O)C2C(NC(C(N3C(C(NC(O)C(O)CC(NC(CCCCCCCCC(C)CC(CC)C)=O)C(NC(C(O)C)C(N4C(CC(O)C4)C(N2)=O)=O)=O)=O)CC(C3)O)=O)C(CC(N)=O)O)=O)C=C1
