NAME	Molecular Weight	SMILE Format	SOURCE	ACTIVITY
Ganefromycin ^d<p2>1<p0>	910.067	CC1(C)C(/C=C/C=C\C)OC(C(COC2CC(O)C(O)C(C)O2)C(NC/C=C/C=C(C)/C(O)C(C)C3OC(/C=C/C=C/C=C/C(O)=O)C(O)C3)=O)(O)C(O)C1OC(CC4=CC=CC=C4)=O		
Microcystin	910.079	COC(C(C)/C=C(C)/C=C/C(C(C(NC(CCC(N(C)C(C(NC(C)C1=O)=O)=C)=O)C(O)=O)=O)C)NC(C(C)NC(C(C(C(O)=O)NC(C(N1)CC(C)C)=O)C)=O)=O)CC2=CC=CC=C2		
Micropeptin 478A	910.464	N=C(N)NCCCC(C(NC(CCC1OC)C(N1C(C(C)CC)C(N(C)C(C(NC(C(OC(C2NC(C(CO)O)=O)C)=O)C(C)C)=O)CC3=CC=C(OC)C(Cl)=C3)=O)=O)=O)NC2=O		
Malbrancheogenin	911.14	CC(C)(OC1C(NC(C)=O)C(O)C(O)C(CO)O1)C2CCC3(C)C(C(O)CC4(C)C3CCC4C5=CC6(C)C(OC(C(C)(OC7OC(COC)C(O)C(O)C7NC(C)=O)C)CC6)CC5)O2		
Antibiotic LI-F	911.156	O=C(C(C(O)C)NC(C(C(CC)C)NC(C(C(CC)C)NC(C(NC(CC(O)CCCCCCCCCCCCNC(N)=N)=O)C(C)O1)=O)=O)=O)NC(CC(N)=O)C(NC(C)C1=O)=O		
Arylomycin B7	912.051	[O-][N+](C1=CC2=CC(C3=CC(C(N(C)C(CNC(C(C)NC(C(CO)N(C)C(CCCCCCCCCCC(C)CC)=O)=O)=O)=O)C(NC(C)C(NC(C(O)=O)C2)=O)=O)=CC=C3O)=C1O)=O	Streptomyces sp Tu 6075	(g-pos., )
Microsclerodermin C	912.351	O=C(CNC(C(CC1=CN(C(N)=O)C2=C1C=CC(Cl)=C2)NC(CN(C)C(CC(N3)(O)C(N4)CC3=O)=O)=O)=O)NCC(O)CC(NC(C(O)C(O)C/C=C/C5=CC=CC=C5)C(O)C4=O)=O		
Virotoxin	912.966	O=S(C1=C(C2=C(N1)C=CC=C2)CC3NC(C(C)NC(C4C(O)C(O)CN4C(C(CO)NC(C(C(O)C)NC(C(C(C)C)NC(C(CC(CO)(O)CO)NC3=O)=O)=O)=O)=O)=O)=O)(C)=O		
Antibiotic SQ 28516	912.974	O=C(C)NC(C)C(NC(C)C(NC(C)C(NC(CCCNC(N)=N)C(O)CC(OCC1=C(C(O)=O)N(C2=O)C(C2(NC=O)NC(CCCC(C(N)=O)NC(C)=O)=O)SC1)=O)=O)=O)=O		
Microsclerodermin H	912.998	O=C(NCC(NCC(O)CC1=O)=O)/C(NC(CN(C(CC(N2)(O)C(NC(C(O)C(N1)C(O)C(C(C)/C=C/C=C(C)/C=C/C3=CC=CC=C3)O)=O)CC2=O)=O)C)=O)=C/C4=CNC5=C4C=CC=C5		
Macromomycin; NSC-170105	913.04	O=C(C(C(C)O)NC(C(C(C)C)NC(C(C(C)O)NC(C(C(C)C)NC(CNC(C1N(CCC1)C(C(C)N)=O)=O)=O)=O)=O)=O)N(CCC2)C2C(NC(C)C(NC(C(C)O)C(O)=O)=O)=O	S.macromomyceticus	(Saureus, .05) (S.lutea, .05) (B.subt., .05)
SQ 28516	913.958	O=C1[C@](NC(CCCC(NC(C)=O)C(O)=O)=O)(NC=O)C2N1C(C(O)=O)=C(COC(CC(O)C(CCCNC(N)=N)NC([C@H](C)NC([C@H](C)NC([C@H](C)NC(C)=O)=O)=O)=O)=O)CS2	[B] Flavobacterium sp. sc 12,154	(g-pos., ) (g-neg., )
Antibiotic SQ 28516	913.958	O=C(C)NC(C)C(NC(C)C(NC(C)C(NC(CCCNC(N)=N)C(O)CC(OCC1=C(C(O)=O)N(C2=O)C(C2(NC=O)NC(CCCC(C(O)=O)NC(C)=O)=O)SC1)=O)=O)=O)=O		
Kahalalide C	914.074	CCCC(NC(CC1=CC=CC=C1)C(NC(C(NC(CC2=CC=C(O)C=C2)C(NC(CCCNC(N)=N)C(NC(CC3=CC=C(O)C=C3)C(NC4C(C)CC)=O)=O)=O)=O)C(C)OC4=O)=O)=O		
Aeruginoguanidines	914.075	O=S(OC1=CC=C(C(OS(=O)(O)=O)C(NC(C(CCCNC(N)=N)N(C(C(CCCNC(NC/C=C(C)/CCC=C(C)C)=N)NC)=O)C)=O)C)C=C1COS(=O)(O)=O)(O)=O		
Nodulapeptin B	914.085	OC1=CC=C(CCC(N(C(C(NC(C(CCS(C)=O)NC(C(NC(NC(C(CC)C)C(O)=O)=O)CCCCNC2=O)=O)=O)CCC3=CC=CC=C3)=O)C)C(NC2COC(C)=O)=O)C=C1		
Circulocin ^a	914.203	O=C(NC(C(NC(CC1=CC=CC=C1)C(NC2C(CC)C)=O)=O)C(C)OC(C(NC(C(CCN)NC2=O)=O)CC(O)=O)=O)CCCCCCCCCCCCCCCCCCNC(N)=N		
Neocarzinostatin; Dechromoneocarzinostatin; NSC-69856; Zinostatin	915.012	O=C(C(C(C)O)NC(C(C(C)C)NC(C(C(C)O)NC(C(C)NC(C(C(C)O)NC(C1N(CCC1)C(C(C)NC(C(C)N)=O)=O)=O)=O)=O)=O)=O)N(CCC2)C2C(NC(CO)C(O)=O)=O	(A) S. carzinostaticus f-41 (ATCC 15945, FERM-p 2257); S. carzinostaticus f-41 (ATCC 15945)	(S.aureus, 8-50) (B.subt., 2-25) (S.lutea, .3-12.5) (Shyg., 20) (g-pos., )
Preneocarzinostatin	915.012	O=C(C(C(C)O)NC(C(C(C)C)NC(C(C(C)O)NC(C(C)NC(C(C(C)O)NC(C1N(CCC1)C(C(C)NC(C(C)N)=O)=O)=O)=O)=O)=O)=O)N(CCC2)C2C(NC(CO)C(O)=O)=O	S. carzinostaticus f-41	(antibiotic) (antitumor)
Microsclerodermin H	915.014	O=C(NCC(NCC(O)CC1=O)=O)C(NC(CN(C(CC(N2)(O)C(NC(C(O)C(N1)C(O)C(C(C)/C=C/C=C(C)/C=C/C3=CC=CC=C3)O)=O)CC2=O)=O)C)=O)CC4=CNC5=C4C=CC=C5		
ComX<p2>RO-E-2<p0> pheromone	915.102	NCC(NC(C(C)CC)C(NC(CC1=CC=CC=C1)C(N2C(C(NC(CCC(O)=O)C(NC(CCC(N)=O)C(O)=O)=O)=O)CC3(C/C=C(C)/CCC=C(C)C)C2NC4=C3C=CC=C4)=O)=O)=O		
Muraymycin C<p2>1<p0>	915.956	OC(C(C(C)C)NC(NC(C(N1)CCNC1=N)C(NC(C(O)C(C)C)C(NCCCNC(C(C2C(O)C(O)C(N(C(N3)=O)C=CC3=O)O2)OC4OC(CN)C(O)C4)C(O)=O)=O)=O)=O)=O		
Anabaenopeptin 915	916.086	OC1=CC=C(CCC(C(N(C(CCC2=CC=C(O)C=C2)C(NC(C3=O)C(C)CC)=O)C)=O)NC(C(C(C)C)NC(C(CCCCN3)NC(NC(C(O)=O)CC4=CC=C(O)C=C4)=O)=O)=O)C=C1		
Microginin 51A	917.114	OC(C=C1)=CC=C1CC(C(N(C)C(C(C)C)C(N(C)C(CC2=CC=C(O)C=C2)C(N3C(C(NC(CC4=CC=C(O)C=C4)C(O)=O)=O)CCC3)=O)=O)=O)NC(C(O)C(CCCCCCC)N)=O		
^b-Amanitin	918.977	O=C(NCC(NC(C1=O)CS(C2=C(CC(C(NC3)=O)NC(C(NC(C4CC(O)CN4C(C(N1)CC(N)=O)=O)=O)C(C(O)CO)C)=O)C5=C(N2)C=C(O)C=C5)=O)=O)C(C(CC)C)NC3=O		
Glysperin B; BU 2349B	918.992	O=C(C(C)N)N[C@H]([C@@H](O)[C@@H](N)[C@H]1C)[C@H](O1)O[C@@H]2[C@H](O)[C@H]([C@H](O[C@@H]3[C@@H](O)[C@H](OC([C@H]3O)=C)O[C@H]4[C@@H](O)[C@H](O[C@@H]4CO)OC5=CC=C(C=C5)C(NCCCNCCCCN)=O)O[C@@H]2CO)O	[B] Bacillus cereus f 173-b61 (ATCC 31429, FERM-p 5197), F 262-b54 (ATCC 31430, FERM-p 5198)	(B.subt., 25) (S.aureus, 6.3) (E.coli, .8) (K.pneum., 12.5) (P.vulg., 15) (Mycob.sp., 3.1)
Bouvardin	918.998	CN(C(C(C)NC(C(CC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1)N3C)=O)=O)C(CC4=CC=C(O5)C=C4)C(N(C(CC6=CC=C(OC)C5=C6)C(NC(C)C(NC(C)C3=O)=O)=O)C)=O		
Somamide B	919.046	OC1=CC=C(CC(C(NC(C(C)C)C(OC(C)C(NC(C(CCC(N)=O)NC(CCC)=O)=O)C(N/C2=C\C)=O)=O)=O)N(C)C(C(CC3=CC=CC=C3)N(C(O)CCC4NC2=O)C4=O)=O)C=C1		
^b-Amanitin	919.961	O=C(NCC(NC(C1=O)CS(C2=C(CC(C(NC3)=O)NC(C(NC(C4CC(O)CN4C(C(N1)CC(O)=O)=O)=O)C(C(O)CO)C)=O)C5=C(N2)C=C(O)C=C5)=O)=O)C(C(CC)C)NC3=O		
Largamide B	920.03	CC(C)=CC(NC(C(C)C)C(NC(CC1=CC=C(O)C=C1)C(NC(C(NC(C(N/C(C(NC(C(NC2CCCC3=CC=C(O)C=C3)=O)CCC(O)=O)=O)=C\C)=O)C)=O)C(C)OC2=O)=O)=O)=O		
Keramamide F	921.04	O=C(NCC(C(NC(C(NC(C(C(NC1COC)=O)=O)C(CC)C)=O)C)=O)NC(C(NC(C(O)CNC=O)=O)C(CC)C)=O)/C(NC(/C=C/C2=CSC1=N2)=O)=C/C3=CNC4=C3C=CC=C4		
Nostopeptin BN920	921.062	CC(CC(C(NC1CCC(O)N(C2CC3=CC=CC=C3)C1=O)=O)NC(C(NC(C(CCC(N)=O)NC(C)=O)=O)C(C)OC(C(C(C)C)NC(C(CC4=CC=C(O)C=C4)N(C)C2=O)=O)=O)=O)C		
Coenzyme A	921.786286	NC1=NC=NC2=C1N=CN2C(C(O)C3OP(O)(O)=O)OC3COP(O)(OP(O)(OCC(C)(C(O)C(NCCC(NCCSC(CCCCCCCCC)=O)=O)=O)C)=O)=O		
Boromycin	921.926	CC1CCC(C2(C)C)OC13O[B-](OC4C(OC(C/C=C/CCC2O)C(OC(C(C(C)C)[NH2+]C(C)=O)=O)C)=O)(OC45OC6CCC5C)OC3C(OC7CC(OC7C)CCCC(C6(C)C)O)=O		
Microginin 299A	921.955	ClC(Cl)CCCCCCC(C(C(NC(C(C)C)C(N(C)C(C(C)C)C(N(C)C(CC1=CC=C(O)C=C1)C(N2C(C(NC(CC3=CC=C(O)C=C3)C(O)=O)=O)CCC2)=O)=O)=O)=O)O)N		
Keramamide H	923.056	O=C(NC(C)C(NC(C(C(NC(COC)C1=NC(/C=C/C(NC(CC2=CNC3=C2C=CC=C3)C4=O)=O)=CS1)=O)=O)C(C)CC)=O)C(CN4)NC(C(C(CC)C)NC(C(O)CNC=O)=O)=O		
Aselacin A	923.078	CC(C(NC(C(CCC(N)=O)NC(CCCCCCCC(/C=C/C=C/CCCC(O)C)=O)=O)=O)C(NCCC1=O)=O)OC(CNC(C(CO)NC(C(N1)CC2=CNC3=C2C=CC=C3)=O)=O)=O		
Anabaenopeptin H	923.126	OC1=CC=C(CCC(NC(C(NC(C(NC(NC(C(O)=O)CCCNC(N)=N)=O)CCCCNC(C(C(C)CC)NC2=O)=O)=O)C(C)CC)=O)C(N(C2CCC3=CC=C(O)C=C3)C)=O)C=C1		
Albopeptin B	924.085	CC(C)C1NC(/C(NC(C(NC(CNC(CCCCCCCCCCCCN(O)C(N)=N)=O)=O)CSC(COCC(C(O)=O)NC(CNC/2=O)=O)(C(NC2=C/C)=O)NC1=O)=O)=C/C)=O		
Ganefromycin ^d<p2>1<p0>	924.094	CC1(C)C(/C=C/C=C\C)OC(C(COC2OC(C)C(O)C(O)C2)C(NC/C=C/C=C(C)/C(OC)C(C)C3OC(/C=C/C=C/C=C/C(O)=O)C(O)C3)=O)(O)C(O)C1OC(CC4=CC=CC=C4)=O		
Microcystin	924.106	COC(C(C)/C=C(C)/C=C/C(C(C(NC(CCC(N(C)C(C(NC(C)C1=O)=O)=C)=O)C(O)=O)=O)C)NC(C(C)(C)NC(C(C)C(C(O)=O)NC(C(N1)CC(C)C)=O)=O)=O)CC2=CC=CC=C2		
Oleanolic acid 3-glycosides	924.135	CC1(C)C(OC2OC(COC3OCC(O)C(O)C3OC4C(O)C(O)C(O)CO4)C(O)C(O)C2NC(C)=O)CCC5(C)C1CCC6(C)C5CC=C7C6(C)CCC8(C(O)=O)C7CC(C)(C)CC8		
Cochinmicin I	924.361	OC1=CC(O)=CC(C(C2=O)NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(N3)=CC=C3Cl)=O)CC4=CC=CC=C4)=O)C(O2)C)=O)CC5=CC=CC=C5)=O)C)=O)C6=CC(O)=CC(O)=C6)=O)=C1		
Malbrancheogenin	925.167	CC(C)(OC1C(NC(C)=O)C(O)C(O)C(COC)O1)C2CCC3(C)C(C(O)CC4(C)C3CCC4C5=CC6(C)C(OC(C(C)(OC7OC(COC)C(O)C(O)C7NC(C)=O)C)CC6)CC5)O2		
Antibiotic LI-F	925.183	O=C(C(C(O)C)NC(C(C(CC)C)NC(C(C(CC)C)NC(C(NC(CC(O)CCCCCCCCCCCCNC(N)=N)=O)C(C)O1)=O)=O)=O)NC(CCC(N)=O)C(NC(C)C1=O)=O		
Pedein A	925.39	ClC1=CC(NC=C2CC(C(NCC(NCC(O)CC3=O)=O)=O)NC(CN(C)C(CC4(O)C(NC(C(C(N3)C(O)C(C/C=C/C=C/C5=CC=CC=C5)O)O)=O)C(OC)C(N4)=O)=O)=O)=C2C=C1		
Micropeptin 478A	926.053	N=C(N)NCCCC(C(NC(CCC1O)C(N1C(C(C)CC)C(N(C)C(C(NC(C(OC(C2NC(C(CO)OS(=O)(O)=O)=O)C)=O)C(C)CC)=O)CC3=CC=CC=C3)=O)=O)=O)NC2=O		
Nostopeptin A	927.11	CCC(C)C(NC(C(CC1=CC=C(O)C=C1)N(C)C2=O)=O)C(OC3C(C(NC(CC(C)C)C(NC4C(N(C2C(C)CC)C(O)CC4)=O)=O)=O)N(C(C(NC(C)=O)CCC(N)=O)=O)CC3C)=O		
Keramamide A	927.541	ClC1=CC(NC=C2CC(C(NC(C3=O)CC4=CC=CC=C4)=O)N(C)C(C(NC(C(NC(C(NC(NC(C(O)=O)CC5=CC=CC=C5)=O)CCCCN3)=O)CC(C)C)=O)CC(C)C)=O)=C2C=C1		
<h1>Eubacterium saburreum<h0> Cell-wall antigen	927.780524	CC1OC(OP)C(O)C(NC(C(OC(OC(C2O)C)C(C2NC(C(OC(OC(C3O)C)C(C3NC(C(P)CO)=O)O)CO)=O)OC(OC(C4O)CO)(C4O)CO)CO)=O)C1O		
Alterobactin A	927.879	O=C(NCCCCC(C(CC(NC(COC1=O)C(NCC(NC(C(NC(C(NCC(NC1C(C(O)=O)O)=O)=O)C(O)C(O)=O)=O)CCCNC(N)=N)=O)=O)=O)O)N)C2=CC=CC(O)=C2O		
Streptothricin	929.091	O=C1NCC(O)C(N/2)C1NC2=N/C(C(C(O)C3OC(N)=O)NC(CC(NC(C)=O)CCCNC(CC(N)CCCNC(CC(N)CCCNC(CC(N)CCCN)=O)=O)=O)=O)OC3CO		
Cyanopeptolin B	929.126	O=C(C(C(C)C)NC(C(N1C)CC2=CC=CC=C2)=O)OC(C(NC(C(NC(CCCCC)=O)CC(O)=O)=O)C(NC(C(NC(CCC3O)C(N3CC(C(C)C)C1=O)=O)=O)CCCCN)=O)C		
Prenylagaramide B	929.129	O=C(C(C(C)CC)NC(C1N2CCC1)=O)NC(CC(N)=O)C(N3C(CCC3)C(NC(CC4=CC=C(OCC=C(C)C)C=C4)C(NC(C(NC(CC5=CC=C(O)C=C5)C2=O)=O)CC(C)C)=O)=O)=O		
Nordidemnin B	929.166	O=C(OC(C(NC(C(CC(C)C)NC)=O)C(NC1C(C)C)=O)C)C(N(C)C(C2N(CCC2)C(C(NC(C(C(C(C(C)C)OC(CC1O)=O)=O)C)=O)CC(C)C)=O)=O)CC3=CC=C(OC)C=C3		
Calyculin A	929.206	CC(/C(C)=C\C(C(O)C(C)C(O)CC(OC)C1OC(CC(O)C2C)(OC2C/C=C/C3=COC(C(CCNC(C(O)C(C(N(C)C)COC)O)=O)C)=N3)C(C)(C1O)C)C)=C/C=C\C(C)=C\C#N		
Patellin 4	929.232	O=C(NC(C(C)C)C(N1C2CCC1)=O)C3N(C(C(CC(C)C)NC(C(NC(C4CSC(C(C(C)C)NC(C(C(C)OC(C)(C)C=C)NC2=O)=O)=N4)=O)C(C)OC(C)(C)C=C)=O)=O)CCC3		
Muraymycin C<p2>1<p0>	929.983	OC(C(C(C)C)NC(NC(C(N1)CCNC1=N)C(NC(CC(C)C)C(NCCCNC(C(C2C(O)C(O)C(N(C(N3)=O)C=CC3=O)O2)OC4OC(CN)C(O)C4OC)C(O)=O)=O)=O)=O)=O		
Scleritodermin A	930.058	O=C(C(NC(C1CCCN12)=O)C(C)CC)C(NC(CC3=CC=C(O)C=C3)C4=NC(/C=C(C)/C=C(C(OCC(NC(C5CCCN5C(C(COC)NS(=O)(O)=O)=O)=O)C2=O)=O)/C)=CS4)=O		
Celogentin A	930.081	O=C(NC(C(C)C)C(NC(CC1=C(N2C=C3N=C2)NC4=CC(C(C(C)C)C5NC(C(N6)CCC6=O)=O)=CC=C41)C(NC(C(NC(C3)C(O)=O)=O)CCCNC(N)=N)=O)=O)C(NC5=O)CC(C)C		
Nodulapeptin B	930.084	OC1=CC=C(CCC(N(C(C(NC(C(CCS(C)(=O)=O)NC(C(NC(NC(C(CC)C)C(O)=O)=O)CCCCNC2=O)=O)=O)CCC3=CC=CC=C3)=O)C)C(NC2COC(C)=O)=O)C=C1		
Oscillamide H	930.113	O=C(NC(CCC1=CC=C(O)C=C1)C(NC(CCC2=CC=C(O)C=C2)C(N[C@@H]([C@H](C)CC)C(NCCCC3)=O)=O)=O)[C@H]([C@H](C)CC)N(C)C([C@@H]3NC(N[C@@H](CC4=CC=C(O)C=C4)C(O)=O)=O)=O	Oscillatoria agardhii	(protease inhib., )
Anabaenopeptin G	930.113	OC1=CC=C(CCC(NC(C(NC(C(NC(NC(C(O)=O)CC2=CC=C(O)C=C2)=O)CCCCNC(C(C(C)CC)NC3=O)=O)=O)C(C)CC)=O)C(N(C3CCC4=CC=C(O)C=C4)C)=O)C=C1		
Antibiotic SUAM 20007	930.151	O=C(O)C(C)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)CC)C(O)CC(NC(C)C(NC(C(O)CC(NC(C)C(NC(C(CC(O)=O)O)C(CC)C)=O)=O)C(CC)C)=O)=O)=O)=O)=O		
Circulocin ^a	930.202	OC(CCCCCCCCCCCCCCCCNC(N)=N)CC(NC(C(NC(CC1=CC=CC=C1)C(NC2C(CC)C)=O)=O)C(C)OC(C(NC(C(CCN)NC2=O)=O)CC(O)=O)=O)=O		
Nephilatoxin 4	930.21	O=C(CC(NC(C(CCCN)NC(CC1=CNC2=CC(O)=CC=C21)=O)=O)C(NCCCCCNC(CCNCCCCNC(CCNCCCCNC(CCNCCCCN)=O)=O)=O)=O)N		
Microsclerodermin E	930.969	CCOC(C=C1)=CC=C1/C=C/C=C/CC(C(O)C(C2O)NC(CC(O)CNC(CNC(C(CC3=C(C(O)=O)NC4=C3C=CC=C4)NC(CN(C)C(/C=C(N5)/C(NC2=O)CC5=O)=O)=O)=O)=O)=O)O		
Variapeptin	931.098	O=C(C1N(C(C(C(OC(C(N2)CO)=O)C(C)C)NC(C(C)(C3(O)OC(C)C(CC(C)C)CC3)O)=O)=O)NCCC1)N(O)C(C)C(N(C)C(CC4=CC=CC=C4)C(N5NCCCC5C2=O)=O)=O		
Microginin 51A	931.141	OC(C=C1)=CC=C1CC(C(N(C)C(C(C)C)C(N(C)C(CC2=CC=C(O)C=C2)C(N3C(C(NC(CC4=CC=C(O)C=C4)C(O)=O)=O)CCC3)=O)=O)=O)NC(C(O)C(CCCCCCC)NC)=O		
Antibiotic LI-F	931.146	O=C(C(C(O)C)NC(C(CC1=CC=CC=C1)NC(C(C(C)C)NC(C(NC(CC(O)CCCCCCCCCCCCNC(N)=N)=O)C(C)O2)=O)=O)=O)NC(CC(N)=O)C(NC(C)C2=O)=O		
Muraymycin C<p2>1<p0>	931.955	OC(C(C(C)C)NC(NC(C(N1)CCNC1=N)C(NC(C(O)C(C)C)C(NCCCNC(C(C2C(O)C(O)C(N(C(N3)=O)C=CC3=O)O2)OC4OC(CN)C(O)C4O)C(O)=O)=O)=O)=O)=O		
Marinobactins	932.039	O=C(NCCC(C(NC(CO)C(NC(CCCN(O)C(C)=O)C(NC(CO)C(NC(CCCN(O)C(C)=O)C(O)=O)=O)=O)=O)=O)NC1=O)C(C1NC(CCCCCCCCCCC)=O)O		
Discobahamin A	932.089	CCC(C(O)C(NC(C(NC(C(N1CCCC1C(NC(C2=O)CC(C)C)=O)=O)CCCNC(C(NC(/C=C/C3=COC(C(NC2=O)C)=N3)=O)CC4=CNC5=C4C=C(O)C=C5)=O)=O)CCC)=O)C		
Kahalalide X	932.089	O=C(NC(C(C)O)C(NC(CC1=CC=C(O)C=C1)C(NC(CCCNC(N)=N)C(NC(CC2=CC=C(O)C=C2)C(NC(C(CC)C)C(O)=O)=O)=O)=O)=O)C(NC(CCC)=O)CC3=CC=CC=C3		
Cephabacin M	933.001	NC(C(O)=O)CCCC(NC1(OC)C(N2C1SCC(COC(CC(O)C(NC(C(C(C)C)NC(C(NC(C(NC(C(N)C)=O)CO)=O)CCCN)=O)=O)CC(N)=O)=O)=C2C(O)=O)=O)=O		
Actinoxanthine; 1131	933.03	O=C(C(CO)NC(C(C(C)C)NC(C(CO)NC(C(CC1=CC=CC=C1)NC(C(C)NC(C2N(CCC2)C(C(C)N)=O)=O)=O)=O)=O)=O)N(CCC3)C3C(NC(C)C(NC(CO)C(O)=O)=O)=O	S.longisporus	(S.aureus, .001) (B.subt., 1) (g-pos., ) (tumor, )
Lyngbyastatin 8	933.073	OC1=CC=C(CC(C(NC(C(C)C)C(OC(C(NC(C(C(C)C)NC(C(C)NC(C)=O)=O)=O)C2=O)C)=O)=O)N(C(C(CC3=CC=CC=C3)N4C(O)CCC(NC(/C(N2)=C/C)=O)C4=O)=O)C)C=C1		
Kahalalide O	933.117	CCC(C)C(N1)C(NC(C(OC(C)C(C(NC(CC2=CC=C(O)C=C2)C(NC(C(NC(C1=O)C(C)O)=O)CC3=CNC4=C3C=CC=C4)=O)=O)NC(CNC(CCCC(C)C)=O)=O)=O)C(C)C)=O		
Myxochromide B	933.161	O=C(C(NC(C(CC(C)C)NC(C(C)NC1=O)=O)=O)CC(C)C)N2CCCC2C(NC(C)C(NC(C(OC(C)C1N(C)C(/C=C/C=C/C=C\C=C\C=C\C=C\C=C\C)=O)=O)CCC(N)=O)=O)=O		
Largamide C	934.057	CC(C)=CC(NC(C(C)C)C(NC(CC1=CC=C(O)C=C1)C(NC(C(NC(C(N/C(C(NC(C(NC2CCCCC3=CC=C(O)C=C3)=O)CCC(O)=O)=O)=C\C)=O)C)=O)C(C)OC2=O)=O)=O)=O		
Bouvardin	934.997	CN(C(C(C)NC(C(CC1=CC=C(OC)C=C1)N2C)=O)=O)C(CC3=CC=C(O4)C=C3)C(N(C(CC5=CC=C(OC6OC(CO)C(O)C(O)C6O)C4=C5)C(NC(C)C(NC(CO)C2=O)=O)=O)C)=O		
YM 47141	935.045	CC(C)CC(C(C(C(NC(C(NC(CC(N)=O)C(NC(C)C(OC(C1NC(C(NC(C(CC2=CC=CC=C2)NC(CC3=CC=CC=C3)=O)=O)C(C)O)=O)C)=O)=O)=O)CC(C)C)=O)=O)=O)NC1=O		
Antibiotic 273a<p2>2<p0>	935.963	OC(C1OC(C(OC(/C(NC(SCC(C(O)=O)NC(C)=O)=S)=C/C)=O)C(C1O)OC(OC2C)CC(C2(O)C(OC(C(C)C)=O)C)OC)COC(C)=O)(C(C(C(O)=O)=C3N)=O)CC3=O		
Thoreliamide C	936.027	O=C(NCCC1=CC=C(O)C=C1)C2=CC3=C(C(C4=CC(OC)=C(O)C=C4)C2C(NCCC5=CC=C(O)C=C5)=O)C=C(O/C(C(NCCC6=CC=C(O)C=C6)=O)=C\C7=CC=C(O)C(OC)=C7)C(OC)=C3		
Antibiotic FR 901379	936.897	CC(C(C(N1CC(O)CC1C2=O)=O)NC(C(N)CC(O)C(NC(C3C(C(CN3C(C(NC(C(C(O)C(O)C4=CC(OS(O)(=O)=O)=C(C=C4)O)N2)=O)C(CC(N)=O)O)=O)C)O)=O)O)=O)O		
Keramamide H	937.083	O=C(NC(C)C(NC(C(C(NC(COC)C1=NC(/C=C/C(NC(CC2=CN(C)C3=C2C=CC=C3)C4=O)=O)=CS1)=O)=O)C(C)CC)=O)C(CN4)NC(C(C(CC)C)NC(C(O)CNC=O)=O)=O		
Psymbamide A	937.978	BrC1=CC2=C(NC=C2CC(C(NC(CC3=CC=CC=C3)C(NCCCCC(NC(NC(C(C)CC)C(O)=O)=O)C4=O)=O)=O)N(C)C(C(CC(C)C)NC(C(N4)CC(C)C)=O)=O)C=C1		
Taxol	938.033	CC1=C(C(O)C(C2(C)C(OC3C(O)C(O)C(O)CO3)CC4C(CO4)(OC(C)=O)C2C5OC(C6=CC=CC=C6)=O)=O)C(C)(C)C5(O)CC1OC(C(O)C(C7=CC=CC=C7)NC(CCCCC)=O)=O		
Phenelfamycin	938.121	C/C=C\C=C\C(C(C)(C1OC(CC2=CC=CC=C2)=O)C)OC(C(C(NC/C=C/C=C(C(C(C(CC3O)OC3/C=C/C=C/C=C/C(O)=O)C)OC)\C)=O)COC(OC4C)CC(OC)C4O)(C1O)O		
Microcystin	938.133	COC(C(C)/C=C(C)/C=C/C(C(C(NC(CCC(N(C)C(C(NC(C)C1=O)=O)=C)=O)C(O)=O)=O)C)NC(C(C(C)C)NC(C(C)C(C(O)=O)NC(C(N1)CC(C)C)=O)=O)=O)CC2=CC=CC=C2		
Micropeptin 478A	940.08	N=C(N)NCCCC(C(NC(CCC1OC)C(N1C(C(C)CC)C(N(C)C(C(NC(C(OC(C2NC(C(CO)OS(=O)(O)=O)=O)C)=O)C(C)CC)=O)CC3=CC=CC=C3)=O)=O)=O)NC2=O		
Cochinmicin I	940.36	OC1=CC(O)=CC(C(C2=O)NC(C(NC(C(CO)NC(C(NC(C(NC(C(NC(C(N3)=CC=C3Cl)=O)CC4=CC=CC=C4)=O)C(O2)C)=O)CC5=CC=CC=C5)=O)=O)C6=CC(O)=CC(O)=C6)=O)=C1		
5-Hydroxytryptamine	941.078	OC(C(O)C1O)C(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)OC1OC4=CC5=C(NC=C5CCNC(CCCC/C=C/C/C=C/CCCCCCC(O)C)=O)C=C4		
Araplysillin I	941.435	O=C(C1=NOC2(C1)C(O)C(Br)=C(C(Br)=C2)OC)NCCCOC3=C(Br)C=C(CCNC(CCCCCCCCCCCC(C)C)=O)C=C3Br		
Hexadellin B	941.435	BrC1=C(OCCCNC(CCCCCCCCCCCC(C)C)=O)C(Br)=CC(CCNC(C2=NOC3(C2)C(O)C(Br)=C(C(Br)=C3)OC)=O)=C1		
Insulapeptolide A	942.125	O=C(NC(C(OC1C(C(NC(CC(C)C)C(NC2C(N(C(C(CC)C)C3=O)C(O)CC2)=O)=O)=O)N(C(C(NC(C)=O)CCCNC(N)=O)=O)CC1C)=O)C(C)C)C(N3C)CC4=CC=C(O)C=C4		
